name,brand,brand_pos
Сухарики-гренки Воронцовские с чесноком 60гр,воронцовские,"(16, 28)"
2003551 Пирожок с ветчиной/сыром вес,,"(0, 0)"
"ПОЛИНАДИМ КАП ГЛАЗН 0,1% +  0,025% 10МЛ N1 ФЛ ПЛАСТ НАС-ДОЗ ",полинадим,"(0, 9)"
"Пакет 0,2",,"(0, 0)"
Сверло по металлу Cobalt  Yoko 6 мм,yoko,"(26, 30)"
Мистер Чистер жид мыло Хозяйст 450,мистер чистер,"(0, 13)"
"Клей-пена TYTAN для гипсокартона 840 мл PROFESSIONAL, шт",tytan,"(10, 15)"
250Г ЙОГУРТ 5% СЛОБОДА ИНЖ/СЛИВА/МИН БЗМЖ,слобода,"(15, 22)"
"1: 441-107. VETTA Губка для удаления пятен, розо (441-107)",vetta,"(12, 17)"
Чипсы LAYS смет/лук 150гр,lays,"(6, 10)"
231019 10 Spyder 17 18 брюки утепленные м BOYS PROPULSION 434 french blue,spyder,"(10, 16)"
6.АКСЕССУАР НОСКИ КОРОТКИЕ 0SH248Z1 8681386911481,,"(0, 0)"
"БЕЛЫЙ МЕДВЕДЬ ПИВ СВ 1,3Л ПЭТ",белый медведь,"(0, 13)"
Клей для п,,"(0, 0)"
"Соус Стебель бамбука соевый 280г японский (1г), шт",стебель бамбука,"(5, 20)"
Лагман с фасолью 450 гр.Городок,городок,"(24, 31)"
Ж/д билет № 73250866722802 Плацкарта,,"(0, 0)"
Шорты Intimissimi LM082664626,intimissimi,"(6, 17)"
"Майонез ""Mr.Ricco ORGANIK"" Оливковый Экстра 400мл 67%",ricco,"(12, 17)"
Колбаса Телячья н/о в/у Велком 500г \,велком,"(24, 30)"
Пончик с повидлом 1шт Завьялово,,"(0, 0)"
"Monge, Корм сухой для взрослых собак мелких пород с лососем и рисом, 2,5 кг",monge,"(0, 5)"
Вафли НЯМ-НЯМКА вар. сгущенка /Сладонеж/ вес,сладонеж,"(31, 39)"
00000010252 Кабель-канал 12х12 ECOLINE (120 м),ecoline,"(31, 38)"
3 2157294172376 ДЖИНСЫ МУЖ/OVS/8723,ovs,"(27, 30)"
АМ385 (Диск д/циркул.пилы 200мм (арт.9020-200-32-48Т) 48 зубьев *1/40),,"(0, 0)"
"Мин.вода""Архыз Легенда Гор"" 0,5л газ",архыз,"(9, 14)"
Олимпийка Marc O'Polo LM116915865,marc o'polo,"(10, 21)"
Худи Anta LM083346926,anta,"(5, 9)"
"Мясной снек СЕРДЦЕ ПО-КОРЕЙСКИ к/в 70г в/у ООО ""Страна Вкуса""",страна вкуса,"(48, 60)"
Морс 1л малина,,"(0, 0)"
Сельдь по-исланд в беловинной заливке 115г.ж/б ключ,,"(0, 0)"
Сумка дет 61285,,"(0, 0)"
"йогурт фермерский с наполнителем 0,33 л 5 шт.",,"(0, 0)"
"Рулетики  вафел  ""Яшкино"" со вкус сгущ мол  160 г",яшкино,"(18, 24)"
Футболка Tom Tailor LM087248727,tom tailor,"(9, 19)"
"контейнер д/продуктов ""Фокус"",",фокус,"(23, 28)"
Блокнот А6/32л.кл.АССОРТИ скреп.мел.,,"(0, 0)"
"НАПИТОК Б/АЛК КИСЕЛЬ ОВСЯНЫЙ.ЗДОРОВОЕ МЕНЮ 0,25Л БАНАН/МАНГО",здоровое меню,"(29, 42)"
Наклейки бумажные Пингвины 17032,,"(0, 0)"
2000001494646 Cумка Marzia l.coffee и.к жен_Y,marzia,"(20, 26)"
Суп Геркулес мясной вермишелевый 60г,геркулес,"(4, 12)"
Иван-чай (Кипрей),,"(0, 0)"
Клинья для кафеля 6мм (100шт) STAYER,stayer,"(30, 36)"
Бюстгальтер (24 00) шт,,"(0, 0)"
Опора амортизатора перед прав/лев LYNXauto MA1097LR,lynxauto,"(34, 42)"
"Батарея салютов ""ФЕЙЕРВЕРК-19"" (2""х 19) 2/1",,"(0, 0)"
Колодки тормозные дисковые P 06 053 BREMBO,brembo,"(36, 42)"
[00000139505]  Светодиод FT-5050-8SMD-41 мм 24V (шт),,"(0, 0)"
"Подвеска 390-1-570Р*(шт), фианит; 1 жемчуг культ.",,"(0, 0)"
творог зерненный савушкин 101 5% 350г(шт),савушкин,"(17, 25)"
"ЛХ-ПЛ-5415 Планшет для акварели Лилия Холдинг ""Искушение"" с 50%",искушение,"(47, 56)"
Манная крупа Агромастер 700гр,агромастер,"(13, 23)"
HYUNDAI 28113-2W100,hyundai,"(0, 7)"
Семена льна для проращивания 170г,,"(0, 0)"
56СМ ФИГУРА ЭЛЬФ ГОЛУБ ВП,,"(0, 0)"
7 2456609958774 майка муж/Orbi/1400,orbi,"(26, 30)"
Носки Memo | oh yeah,,"(0, 0)"
"BL_065985 Карандаш чернографитн. Hatber Re-form круглый корпус 72шт. серия  ""HB"" с ластиком с заточ.  в Пласт.тубе",hatber,"(33, 39)"
ПЕРЕЦ ЗЕЛЕНЫЙ ВЕСОВ,,"(0, 0)"
Чайник заварочный ф. Волна рис. Тонкие веточки,,"(0, 0)"
"Масленка ""Премьера"" М-2212",премьера,"(10, 18)"
"ошейник барс кош, 35 см",барс,"(8, 12)"
Сок мультифрукт 100% Добрый 2л,добрый,"(21, 27)"
ОР92 Органайзер Mini DESK,,"(0, 0)"
Сосиски Вкусные с телятиной вар. в/с газ БМК (БЕЛАРУСЬ),бмк,"(41, 44)"
Питьевой йогурт Valio с малиной и злаками 330г,valio,"(16, 21)"
"Молоко пастер БЕЛЫЙ МЕДВЕДЬ 2,5% 900л пл",белый медведь,"(14, 27)"
ГОРШОК КЕРАМ Д/ЦВ БЕЛЫЙ Д31 С ПОДД,,"(0, 0)"
Топинг Махеев Мол.Какао 300г,махеев,"(7, 13)"
Шоколад Бабаевский 165г вишневый брауни/цельный фундук ОК,бабаевский,"(8, 18)"
Свинина со сладким перцем /178,,"(0, 0)"
Шоколад Спартак молочн. 90г,спартак,"(8, 15)"
ПРЕЛЕСТЬ Лак БИО Морские минерал,прелесть,"(0, 8)"
"Ремкомплект МАЗ,КАМАЗ трубки торм.пластиковой d=16х2.0(1гайка,1штуцер,1шайба)",,"(0, 0)"
Сельдь атл с/с Олюторка 1 сорт вес,,"(0, 0)"
Метоклопрамид амп 2мл №10 Московский,метоклопрамид,"(0, 13)"
Пирог пес. твор.-бан. 120 гр.,,"(0, 0)"
6 2157308116693 Панно деко/Home/YHA0,home,"(27, 31)"
"Фарингосепт 10 мг 20 таб. (Терапия СА, 11199952, 01.12.2021 0:00:00) шт",фарингосепт,"(0, 11)"
Печ. К Юбилею  Армавир,армавир,"(15, 22)"
"ПАПКА С МУЛЬТИФОРАМИ НА 10 СТР. БЮРОКРАТ, ЧЕРНАЯ/45//29338441 арт. -BPV10blck",бюрократ,"(32, 40)"
"Пиво Оболонь Светлое 4,5% 1,35л. ПЭТ",оболонь,"(5, 12)"
Футболка Hugo LM076893335,hugo,"(9, 13)"
Краска Layer: Lothern Blue,layer,"(7, 12)"
ПЕЧЕНЬЕ FORSITE СЭНДВИЧ С КОКОСОВЫМ ВК 220Г,forsite,"(8, 15)"
"Макароны ""МАКФА"" Ракушечки Гладкие 250 гр.",макфа,"(10, 15)"
"Вода питьевая для детей Агуша 0,33 л бут,",агуша,"(24, 29)"
Spaten разливное 0.5 мл,spaten,"(0, 6)"
Ботинки зим жен FERTO CA-L2124 WHITE,ferto,"(16, 21)"
"Поролон рыбка (двойник), 8 см фиолетово-черная",,"(0, 0)"
"1382337 Босоножки ж Principe Di Bologna F40  piatto harley nero 11, 36-",principe di bologna,"(20, 39)"
"Герметик ""Soudal"" универсальный силиконовый прозрачный 280 мл.",soudal,"(10, 16)"
"пленка воздушно-пузырчатая 1,5мх100м 703/34965(шт",,"(0, 0)"
Футболка Only WR010700063,only,"(9, 13)"
8 2456553687577 Трусы жен/Marc/S6-0,marc,"(26, 30)"
Питательный крем для лица 50 мл Human Being,human being,"(32, 43)"
SEPHORA Тушь Эффект Распахнутых Ресниц Водостойкая Ультра Черная,sephora,"(0, 7)"
"ЖЗ06 (Сверло по металлу 4,2мм (3шт) ""888"" (арт.6610423))",,"(0, 0)"
Minimi FLEECE носки,minimi,"(0, 6)"
Подушечки с шокол. нач. 175гр.Любятово,любятово,"(30, 38)"
S20H17-08-02/12 к/т Туфли откр. жен кожа свет.сер. (37),,"(0, 0)"
"37415 Уголок штукатурный 23х23 2,5м ПВХ шт.",,"(0, 0)"
ТОМАТ 600ГР,,"(0, 0)"
"Минеральная вода ""Ессентуки Целебная"" 1,5л (Октябрь-А)",ессентуки,"(18, 27)"
Наушники Bluetooth JBL Tune 190BT White,jbl,"(19, 22)"
Сервелат  Столичный  400г. Черкизово,черкизово,"(27, 36)"
"Масло Mobil моторное 10W40 Super 2000 Х1 A3/B3, SL (полусинтетика) (налив 4 л)",mobil,"(6, 11)"
АНГИОСЕПТ полоскание д/полости рта с кал,ангиосепт,"(0, 9)"
"Порошок КАПЕЛЬ  фруктовый букет 3в1 (стирает, моет,убирает) 400 г.",капель,"(8, 14)"
МЕТРОНИДАЗОЛ 250МГ. №24 ТАБ. /ОБНОВЛЕНИЕ/,метронидазол,"(0, 12)"
"Брюки длинные , 14-0755 , M/46..",,"(0, 0)"
"Носки женские р.36-40 ""Hobby Line"" Сердце с улыбкой"" х/б, укороч. 1/12 Арт.Нжу534-3-02",hobby line,"(23, 33)"
1/1 Презервативы Контекс/Contex классик №18,contex,"(25, 31)"
"Джинсы BML NAPOLI, 160321 (33/34, шт)",,"(0, 0)"
смазка LM 47 Langzeitfett+ MoS2 7574 шт,lm,"(7, 9)"
Слайм  прихлоп 1 шт,прихлоп,"(7, 14)"
МОЛОЧКО BOTANIC THERAPY КОКОС 250,botanic therapy,"(8, 23)"
"Молоко ПЕРВЫЙ ВКУС  3,2% 1л коробка",первый вкус,"(7, 18)"
071058:Корм для собак Cesar Аппетитные блюда из (НДС 20%),cesar,"(22, 27)"
Игровой набор Hot Wheels ?Машинки Бэ,hot wheels,"(14, 24)"
"Фигурка из теста. Пластишка ""Машинки""",,"(0, 0)"
"5 шт.  kopo ткая ручка kруглыe  № 1, 2, 3, 4, 5 Артиkул 14524192822",,"(0, 0)"
Ваф. рулет Со вкусом сгущ. молока,,"(0, 0)"
22 2456577636773 05.21 Паст/Lino/A029,lino,"(28, 32)"
Горох Увелка пак 5*80гр,увелка,"(6, 12)"
532248-21 синий полуботинки дошкольно-школьные Нат. кожа (32),,"(0, 0)"
"Мяч для настольного тенниса 40 мм (набор 6 шт), цвет оранжевый   3544173 Л354-4173",,"(0, 0)"
