id,good,brand
385,авиабилеты,стамбул
386,коврик,
387,красавчик,красав
388,муфта,
389,соус,тар
390,наборажек,weber
391,шайба,
392,браслет,
393,гель,комет океан
394,лапша,
395,футболка,
396,пиво,старый мельник
397,карандаш,bic kids
398,кольцо,
399,ко футболка,
400,керамзит,
401,пена,дока
402,,данон
403,сухарики,кириешки
404,пакеты,фан
405,пьядина,пьядина
406,футболка,bright
407,набор сигнализаторов,jy
408,обувь,calv
409,покрышка,at
410,мовиль,ave
411,рюкзак,
412,,тобрекс
413,босоножки,stra
414,топ,твое
415,приманка,swing impact
416,ремень,
417,рюкзак,piqu
418,ветровка,adid
419,кислота,сибирский
420,бальзам,кармекс spf
421,хлебцы,здоровое меню
422,пальто,
423,кабель,rombica
424,клюква,garage
425,юбка,mango
426,салфетки,bouquet
427,футболка,
428,саморез,
429,рабепразол,рабепразол
430,чехол,paul
431,палочки,novax
432,носки,fan st
433,молоко,лианозовское
434,напиток,махито
435,муфта,
436,брошь,бабочка
437,лимонад,swag
438,ром,бругал
439,бита,matrix
440,панатус,панатус
441,вафля,
442,вино,кортил риторто добрыня
443,кофе,президент
444,жвачка,раду
445,зеркало,
446,соединитель,
447,стакан,primanova
448,лезвие,stayer
449,средство,
450,футболка,
451,футболка,helmidge
452,сок,баринофф
453,шампунь,чистая линия
454,ананасы,планета витаминов
455,коврик,vetta
456,источник,святой источник
457,куртка,mass
458,фильтр,audi
459,гребешки,
460,сайлентблок,
461,творог,селоз
462,лепешка,
463,ремень,automatic
464,рис,карри
465,дифлюкан,дифлюкан
466,футболка,
467,футболка,zj
468,шапка,vulpes
469,ботинки,
470,вода,виваль
471,боди,moremio
472,лимонад,
473,коврик,
474,носки,komax coton
475,сок,
476,джинсы,antony morato
477,футболка,
478,футболка,
479,резинка,орбит
480,бур,
481,сидр,kerisac
482,винт,din
483,босоножки,босон
484,семечки,
485,герметик,
486,нож,apollo
487,авиабилеты,авиабилетыра краснодар
488,альбом,фламинго
489,свечи,ихтиол дальхимфар
490,каша,
491,скатерть,
492,винт,din
493,пиво,золотая бочка
494,саморез,
495,,
496,воблер,mr
497,заказ,
498,труба,jakko
499,муфта,
500,ветровка,the north face
501,мышь,
502,вода,кримськая
503,,
504,крем мыло,milana fruit
505,лампа,ecola
506,пельмени,
507,сок,фрутоняня
508,гайка,technolock
509,пломбир,
510,банка,
511,салфетки,памперино
512,,
513,футболка,x
514,крекер,
515,творог,сыроваровъ
516,радиатор,
517,мазь,кловейт фармзаводфа
518,комод,
519,фильтр,largus
520,редис,редис аэлита
521,маска,скинлайт
522,суп,приправыч
523,набор,акватория
524,футболка,x
525,вода,святой источник
526,саморез,
527,лампа,narva
528,вафли,
529,шампунь,чистая линия
530,пиво,карлсберг
531,муфта,cu
532,шейка,
533,резинка,орбит
534,корм,китекет
535,сигареты,esse
536,покрывало,mixracite
537,са,памперино
538,плашка,
539,обувь,oliver
540,ботинки,
541,нивея,нивея нь
542,болт,
543,нектар,фруктовый сад
544,шашлык,
545,ножницы,fiskars
546,плитка,##серая
547,шуба,befree
548,поло,adidas
549,линзы,biofinity
550,толстовка,artie
551,зеркало,polcar
552,сыр,этива
553,саморезы,стройбат
554,,пемолюкс
555,ручка,
556,коробка,hegel
557,код,
558,бумага,
559,лосины,лосины
560,каша,
561,сосна,homestudio
562,ботинки,chloe
563,мохито,мох
564,индикатор напряжения,electric
565,игрушка,указ
566,розетка,bln
567,фисташка,чейса
568,леденцы,verbena
569,ластик,хатбер voyage
570,эскимо,
571,болт крепления,
572,пиво,горьковское
573,зеркало,
574,водка,талка сибирский
575,вода,биовита
576,дезодорант шарик,
577,герметик,
578,кофе,супер латте
579,кед,сибереко
580,спрей,никоретте
581,ботинки,rc
582,металлопластилин,
583,,hotpoint
584,,русский размах
585,коньяк,жемчужина
586,,grand coup
587,шоколад,
588,кофе,verle
589,леденцы,асгард
590,,кагоцел
591,кольцо,
592,авиабилеты,
593,космос пластырь,хартманн космосс
594,драже,скиттэлс
595,филейка,хороший вкус
596,батон,терехово
597,ботинки,
598,колбаса,таврия
599,шоколад,риттер лесной
600,пальто,zari
601,ремень,
602,раскладка,
603,багет,
604,болт,
605,шуруп,
606,сифон,си jimten
607,метан,
608,батон,
609,лопата,
610,шоколад,callebaut
611,биотворог,биотворог
612,батончик,
613,ботинки,skechers ryler
614,софт,eveline
615,выключатель,
616,бетагистин,бетагистин
617,футболка,
618,пауч,perfect fit sterile
619,,лайм
620,карандаш,бруно
621,аджисептлки,
622,коробка,hegel
623,гель,регецин
624,каша,
625,майка,tezenis
626,штаны,
627,болт,
628,сандалии,mang
629,кувшин,
630,футболка,
631,сырок,
632,,латте
633,косметика,fito
634,бархатцы,
635,вишня,ричмонд
636,гренки,
637,футболка,
638,,kит
639,ботинки,dunl
640,вино,осенний сад
641,сосиски,стародворье
642,скатерть,
643,заглушка,
644,шапка,erjha
645,сверло,
646,колбаса,московская
647,батончик,
648,морковь,
649,дюбель,нейлон
650,,минтай
651,гренки,штурвал
652,удобрение,дядя
653,жеват резинка,япония
654,коктейль,данон
655,пельмени,
656,мыло,
657,фуфайка,pelops
658,полотно,
659,,jenny jenny
660,зубнаят,smil
661,лампа,philips
662,лосины,
663,попкорн,коринкорн
664,футболка,xs
665,футболка,bat
666,прокладки,леди
667,платье,cons
668,генератор,toyota vitz
669,газон,лилипут
670,винт,din
671,шамп,
672,пенал,berlingo
673,набор,lory
674,удобрение,
675,ботинки,
676,вино,
677,полотно,##u
678,хамон,хамон
679,заправка,sen soy
680,ботинки,
681,саморез,
682,чипсы,bruto
683,товары,nosize
684,контейнер,smart lock
685,босоножки,босон
686,скумбрия,
687,валы,stellox
688,пена,trend window
689,парламент,superslims
690,мороженое,золотой стандарт
691,,
692,,original virginia
693,футболка,
694,пюре,ролтон
695,масло,eneos
696,,mdi
697,,налгезин
698,боксеры,incanto
699,паста,
700,,ренни
701,эмаль,parade metal
702,берет,w
703,хлебцы,здоровое меню здор
704,наполнитель,сисикэт
705,бумага,idea
706,анкер,kdh
707,хлеб,тостов
708,босоножки,lavanta
709,набор,
710,говядина,сохраним
711,грунт,
712,,аква
713,балтика,балтика
714,коробка,t
715,дезодорантей,nivea
716,кофе,
717,ремень,
718,печень,zoo
719,сухарики,кириешки
720,гуашь,artspace
721,майонез,беларусь
722,перец,kamis
723,герметик,
724,фильтр,sakura
725,пюре,ролтон
726,наушники,ritmix
727,сыр,хохланд
728,переключатель,korting krona
729,колонка,nakatomi
730,фен,mark
731,заказ,ангелина
732,рюкзак,fuld
733,лоток,dkc
734,,оми тома
735,угольник,уголь
736,мороженое,
737,акрил,decola
738,грунт,kudo
739,круг отрезной,abraflex
740,,pronature
741,мороженое,
742,рубашка,avispa
743,кепка,hydrogen white
744,футболка,zm
745,конфеты,
746,корм,шеба
747,сосиска,
748,,лея
749,щетка,oats
750,вода,славянка
751,тарелка,
752,водонепрон,ecos
753,щупальца,щупальца
754,фильтр,valtec
755,хлопья,
756,средство,
757,пихта,compacta
758,карамель,напугай
759,футболка,v
760,шорты,ovs
761,саморез,
762,кеды,vagabond
763,уголок,comtek
764,ботинки,zn
765,вода,святой источник
766,щетка,lion
767,,литтл ван
768,ножовка,runex
769,напиток,monster
770,футболка,
771,опора,
772,ушки,
773,лампа,ambrella
774,клей,
775,футболка,
776,шамту,шамту
777,заказ,динамо
778,папка,bruno
779,йошта,йошта
780,щупальца,щупальцамара
781,коньяк суп,ремимарт vs
782,ронколей,ронколейкин
783,сад,любимый сад
784,шампунь,estel
785,переходник,aopen
786,клей,lovely
787,леденцы,холлс
788,футболка,
789,батончик,ди
790,орехи,
791,приправа,приправыч
792,футболка,pimk
793,аэрографиядер,freedecor
794,артрозан,артрозан
795,мармелад,азов
796,водка,
797,футболка,
798,джемпер,brave soul
799,лимонад,
800,салют,ф -
801,сонет,сонет мастихин
802,держатель,
803,акрил,decola
804,дюбель,
805,риппер,relax
806,паста,биомедвайт
807,,
808,солпадеи,солпадеин
809,мороженое,француз paleta
810,апельсин,натуретто
811,макароны,granmulino
812,краска,аквар
813,,straw
814,форма,
815,футболка,zj
816,игрушка,триол
817,шайба,
818,грудинка,валенсия
819,соус,heinz
820,тканчи,garnier
821,линза,maxxee
822,,hepatitis
823,яйцо,робокар
824,,grandorf
825,брынза,брынза
826,стелла,артуа
827,напиток,
828,набор,
829,,матушка
830,решетка,tdm
831,вода,ниагара
832,винт,
833,кетчуп,слобода
834,сантиметртка,
835,штаны,
836,болт,
837,арахис,
838,чехол,meizu meizu
839,фильтр,
840,боксеры,
841,,schott sensa
842,заглушка,внутр
843,пленка,агротекс
844,камифубуки,ymmy
845,линза,super
846,,
847,футболка,
848,дексаметазон,дексаметазон
849,пельмени,
850,печенье,любятово
851,автошина,
852,,five electro
853,макароны,
854,газон,ленивцев
855,брюки,falke
856,фильтр,кия
857,саморез,
858,маска,constantight
859,блины,
860,шпилька,
861,колбаса,брестский
862,шкаф,candy
863,колодка,
864,тарелка,lubby
865,зефир,
866,сигареты,lucky strike
867,майонез,ряба
868,бархатцы,мимимикс
869,лимонад,
870,комплект,choupette
871,,хугарден
872,помада,морозко
873,нос,inca
874,фильтр,
875,нектар,фруктовый сад
876,рюкзак,pacsafe
877,пиджак,вандом
878,буженина,боярская
879,футболка,yv
880,дюбель,
881,набор,ozera ass
882,петр,петр
883,футболка,
884,скумбрия,
885,саморез,
886,,
887,шампунь,
888,,аква минер
889,куртка,guah
890,кофе,
891,,perfect fit
892,гель,кора
893,конфеты,
894,коктейль мороженое,чудо
895,эмаль,proremont
896,носитель,
897,бис,zlаtka
898,напиток,аква
899,уголок,frap
900,брюки,gjn
901,протертая,сибирс
902,,
903,удлинитель,
904,саморез,ок
905,фосфалюгель,фосфалюгель
906,книжка,
907,молоко,родная любава
908,злак,glor
909,багет,
910,скумбрия,
911,вино,абырлаш
912,опалубка,
913,сумка,rec
914,клей,img
915,зефир,
916,снеки,бекон
917,саморез,
918,журнал,народный совет
919,груз шоти,груз
920,мука,амаранта диди
921,рюкзак,
922,бомбер,
923,платье,gap
924,ботинки,
925,туфли,gallucci
926,печенье,топлёнкино сладонеж
927,мелоксикам,мелоксикам
928,ботинки,
929,прокладки,либр
930,скумбрия,
931,раскраска,
932,патчпанель,cabeus
933,ботинки,
934,полуботинки,
935,багет,
936,набор фигурки,wp
937,резинка,
938,жевательная резинка,
939,футболка,
940,соус,heinz
941,коробка,
942,креветка,
943,напиток,ниагара
944,говядина,сохрани
945,футболка,hayas
946,пламя,
947,,splat professional
948,шампунь,чистая линия
949,молоко,назарово
950,очки,
951,средство,профит
952,семечки,велика
953,вода,старбар
954,морс,добрый
955,мята,
956,пропись,пет
957,ролл,волжский пекарь
958,,gfst
959,соус,саважика
960,барон,барон отард
961,паста,start epil
962,,жигули
963,держатель,
964,бон,бон аква
965,фильтр,hyundai
966,винт,
967,сарафан,zarina
968,пастила,коломен
969,ремень,
970,матрас,престиж
971,колодка,
972,саморез,
973,вино,
974,куртка,zara
975,грунт,
976,зеркало,
977,вода,
978,капа,pak rus
979,ремень,гур
980,зефир,вдохновение
981,футболка,ze
982,,
983,сок,фруто няня
984,виски,джим
985,масло,урья ксемоз
986,печенье,воронежская любятово
987,семечки,
988,морож,
989,соуса,спайс
990,молоко,
991,кабель,forza
992,болт,brozex
993,фитогипноз,фитогипноз
994,болт,
995,сахар,рафинат
996,бутылка,бавария
997,напиток,новониколаевский
998,футболка,
999,футболка,
1000,треска,ндм пищевик
1001,водка,
1002,циклоп,циклоп
1003,шпатлевка,файбер новол
1004,колготки,malemi
1005,фисташка,фи
1006,футболка,fhm mark
1007,приспособление,
1008,микодерил,микодерил
1009,кесадилья,
1010,фасоль,
1011,кисть,zoeva
1012,трос,bosch
1013,бане,банеоцин
1014,дюбель,krhs
1015,шуруп,
1016,фильтр,
1017,метан,
1018,футболка,
1019,саморез,
1020,шоколад,callebaut
1021,кляймер,кляйме
1022,бинт,
1023,каша,быстров
1024,футболка,
1025,худи,puma
1026,тетрадь,bg
1027,сковорода,daniks
1028,,том
1029,яйцо,
1030,кольцо,фианит
1031,муфта,
1032,джинсы,incity
1033,дюбель,
1034,напиток,хугарден
1035,фен,aresa
1036,кофе,нескафе
1037,тетрадь,be
1038,бисер,zlаt
1039,пирог,тирольский
1040,батончик,
1041,форма,эл
1042,вентилятор,
1043,фумлента,tim
1044,карандаши,color peps
1045,футболка,
1046,печенье,брянконфи
1047,шпатлевка,
1048,ботинки,
1049,адаптер,hama
1050,фуфайка,фу
1051,лампочки,bosch
1052,майонез,махеев '
1053,селедочка,селедочка русское море
1054,сыр,село зеленое
1055,ботинки,moment
1056,наклейки,artspace
1057,вагонка,smartwood
1058,шапка,bjorn
1059,туфли,vivian royal
1060,пиво,большая кружка
1061,футболка,x
1062,багет,
1063,пластырь,omnisilk
1064,карам,невский
1065,ремень,
1066,йогурт,teos
1067,магнитола,ritmix
1068,физиотенз,физиотенз
1069,драже,skittles
1070,миксер,зубр
1071,держатель,
1072,сумка,
1073,лосины,лосины
1074,контейнер,вязан
1075,масло,вологодское дереве
1076,пюре,ролтон
1077,лосины,
1078,лапш,
1079,димексид,димексид
1080,вода,виттель
1081,приложение,французский вестник
1082,селлардон,селлар
1083,маркер,centropen
1084,сливки,любимое
1085,шуруп,
1086,цепь,
1087,батон,
1088,футболка,
1089,нить,president
1090,луковыеечки,штурвал
1091,штаны,деним
1092,набор,attache
1093,краска,priimaikkurila
1094,лимонад,
1095,коробка,vg
1096,лапша,домашняя
1097,вода,borjomi
1098,напиток,любимый пепсико
1099,ботинки,espr
1100,футболка,
1101,браслет,
1102,бисквит,мере
1103,джемпер,arce
1104,грудка,
1105,датчики,abs hans
1106,,bosch
1107,кабель,forza typ
1108,футболка,абстракция
1109,индапамид,ин
1110,корм,китикет
1111,ореган семена,
1112,бидон,бидон
1113,майка,##ntlla
1114,носитель,
1115,пирожное,милка брауни
1116,мыло,
1117,рамка,jasmin
1118,масло,белорусский дом
1119,замок,
1120,пальто,
1121,,
1122,,полироль плак
1123,,кармолис
1124,дюбель,u
1125,пенал,what do u
1126,сады,садыпридон
1127,пирожное,пекарняовлева
1128,батарейки,космос
1129,кран,tecno
1130,блок,erich krause
1131,гель,фенистил
1132,футболка,взрослая
1133,наполнитель,homecat
1134,клей,
1135,,
1136,печенье,му - му
1137,сухарики,
1138,полотенце,bele
1139,соус,тарсмак
1140,гель,stopproblem
1141,,ista
1142,зефир,славконд
1143,ремень,
1144,штаны,деним
1145,футболка,
1146,сидр,dujardin
1147,розетка,
1148,боди,
1149,,fara
1150,,abb
1151,футболка,
1152,антифриз,control t
1153,набор,kinderline
1154,футболка,good day
1155,сухарики,кириешки
1156,снеки,
1157,шкатул,zara
1158,воск картридже,depiltouch
1159,яйцо,мадагаскар
1160,пельмени,цар змеиногорск
1161,багет,
1162,водка,клюква
1163,туфли,cent
1164,трапеза,монастырская
1165,термопленка,
1166,колбаса,посольская
1167,сосиски,стародворье
1168,макаронные изделия,просто верми
1169,болт,
1170,тампоны,тампон оби оригинал
1171,браслет,mars
1172,чехол,nike nike
1173,автошины,bridgestone
1174,ламиз крем,ламиз
1175,шпилька,
1176,крупа,
1177,пирож,милка
1178,,
1179,стул,kayo
1180,мышь,gosi
1181,латте,
1182,шапка,
1183,футболка,vtax
1184,чай,хейлис
1185,сосиски,стародворье
1186,коллектор,
1187,туфли,
1188,сумка,osti
1189,котел,kospel
1190,блуза,finn flare
1191,соус,фишка
1192,,polaroid
1193,мох,емвито
1194,лимонад,сладинка
1195,пакеты,grifon
1196,комплексщ,борщ
1197,ручка,wolf garten
1198,маслины,iberica
1199,зефир,
1200,напиток,моя семья
1201,шапка,vulpes
1202,лента,brauberg
1203,марис,аква
1204,сосиски,мясницкий
1205,клей,dg
1206,исследование,тропонина
1207,вырезка,
1208,вода,ниагара
1209,,
1210,пуговица,la
1211,лонгслив,coccodrillo
1212,пельмени,
1213,чипсы,
1214,майонез,
1215,полотенца,plushe
1216,гироробот,гироробот
1217,овощи,
1218,изолента,smartline
1219,табак,dailyokah
1220,,stabilo
1221,кастрюля,hitt native
1222,пряники,
1223,кондиционер,вестар
1224,скатерть,
1225,,
1226,мастика,
1227,зефир,
1228,бюстгальте,
1229,наполнитель,
1230,корм,
1231,,dizao
1232,вода,fanta
1233,брюки,nina
1234,пельмени,
1235,печенье,частная галерея
1236,подкладки,
1237,герметик,казань
1238,ключ,pobedit
1239,игрушка,huggeland
1240,скумбрия,
1241,сейф,valberg
1242,шоколад,ritter
1243,конструктор стройка,bondibon
1244,десерт,пиканта
1245,еженедельник,
1246,ошейник,
1247,шампунь,зоовип
1248,резинка,brauberg
1249,сайлентблок,
1250,паста,кубаночка
1251,молоко,
1252,лапша,лазза
1253,рыбка,угорь
1254,футболка,
1255,комплект,marks & spencer
1256,саморезы,стройбат
1257,спирулина,спирулинаэл
1258,саморез,
1259,футболка,
1260,баранка,
1261,брус короб,ламинир
1262,джемпер,
1263,торт,бейкер
1264,полотенце,meandro
1265,болт,
1266,перчатки,benovy
1267,носки,
1268,процессор,amdzen so
1269,йогурт,
1270,футболка,фуфайка
1271,ремень,
1272,носки,komax
1273,корм,шеба
1274,футболка,
1275,примадофилу,примадофилус
1276,болт,
1277,джемпер,edc
1278,котлеты,русский холод
1279,грейп,
1280,календарь,пейзажиber
1281,клей,зубр
1282,винт,
1283,полотера,полотера
1284,пюре,бабушкино лукошко
1285,корм,kitekat
1286,печенье,хит шокол
1287,блуза,bellart
1288,батончик,петродие
1289,квадроцикл,
1290,уксус,kuhne
1291,сахар,белыйвсахар
1292,пельмени,морозко
1293,толстовка,deha
1294,брошь,
1295,,керисак
1296,конфета,чупа чупс
1297,портсигар,портсигар
1298,кордон,кордон
1299,регистратор,
1300,напиток,сладкая страна
1301,круассан,круассан
1302,действие,гевискон
1303,манжет,
1304,фарш,пелфа
1305,пюре,
1306,уши,деревенское
1307,тюль,hx
1308,пельмени,
1309,грунт,живая земля
1310,колб сервелат,сервелат
1311,пельмени,
1312,платочки,ангелина
1313,скатерть,nun
1314,держатель,cf
1315,ботинки,admlis
1316,,
1317,набор,кистей
1318,воблер,tsuyoki
1319,виски,талискер
1320,зефир,love is
1321,пюре,бабушкино лукошко фаустово
1322,саморез,
1323,шоколад,ферреро
1324,ракушки,
1325,ручка,boyard
1326,продукт,nemoloko
1327,колодки,masuma
1328,свёкла,мангольд
1329,пропитка,carbon pro
1330,розетка шторки,sche
1331,фен,delta lux
1332,розетка,
1333,капкейк,
1334,матрас,smart
1335,футболка,strellson
1336,,дантинорм
1337,антифриз,sintec
1338,чоко пай,лотт
1339,лампа,филипс
1340,эмаль,новбыт
1341,гурме,гурме
1342,спонж,
1343,пюре,роллтон
1344,скатерть,pvc
1345,морковь,
1346,мыло,
1347,спрей,аквалор
1348,,
1349,лимонад,
1350,кисть,korvus
1351,чай,ява
1352,,в школу
1353,колодка,
1354,сок,плодовое
1355,наушники,ritmix
1356,лейкоп,унипласт
1357,шорты,basefield
1358,лонгслив,sela
1359,,sweater
1360,напиток,хугарден
1361,коробка,
1362,мармелад,супер бургер
1363,паста,safa
1364,спрей,revlon uniq
1365,наборок,сафари
1366,авиабилеты,рост
1367,масло,ev oro
1368,степлер,colourplay
1369,форма,atmosphere
1370,курсовка,курсов
1371,циркуль,mazari
1372,,kl
1373,футболка,yg
1374,эмаль,hammerite
1375,пиво,барнаульское
1376,кольцо,
1377,кофе,
1378,вода,пилигрим
1379,пельмени,
1380,спицы,hobby &
1381,коляска,babyton
1382,дезодорант,nivea
1383,свитшот,jack &
1384,альбом альбом,elc
1385,тройник,
1386,хворост,
1387,лампа,ecola
1388,аптечка,автомобильная мица
1389,маркер,kores
1390,хлебцы,
1391,мыло,
1392,шерсть,
1393,кофе,
1394,пряжа,astra yak
1395,ручка,stabilo
1396,,jenny jenny
1397,ранец мешок,ранец
1398,носки,
1399,конф,конф
1400,коврик,
1401,коробка,tdm
1402,лосины,
1403,молоко,рогачевъ
1404,приправа,айдиго
1405,юбка,rodier
1406,лапша,big bon max
1407,набор рассады,kвадро
1408,зубная,нит
1409,йогурт,фруате
1410,шестерня,kyocera
1411,гирлянда,hoвo
1412,обувь,tommy
1413,вода,крымская столовая
1414,футболка,
1415,футболка,
1416,шуруп,
1417,гирлянда,
1418,капкейк,mini
1419,коктейль,чудо
1420,балтика,балтика
1421,фуфайка,esprit
1422,шоколад,ритр
1423,крем,нивеа
